restaurant_id,name,city,area,cuisine,features,approx_capacity,table_counts,price_level,rating,hours,min_lead_time_mins,cancellation_policy,contact_phone,contact_email
R030,GoodFoods Urban - Salt Lake,Kolkata,Salt Lake,"Italian, Continental, Gujarati","Gluten Free, Vegan Options, Bar",222,"{""2"": 18, ""4"": 23, ""6"": 6, ""8"": 6, ""10"": 1}",$$,4.7,10:00-01:00+1,120,₹500 no-show fee,+91-9130816384,reservations.30@goodfoods.example.com
R031,GoodFoods Express - New Town,Kolkata,New Town,"Mediterranean, Chinese","Outdoor Seating, Valet Parking, Wheelchair Friendly",158,"{""2"": 13, ""4"": 22, ""6"": 2, ""8"": 4, ""10"": 0}",$$$,4.1,12:00-23:00,120,Credit card hold required,+91-9581223755,reservations.31@goodfoods.example.com
R032,GoodFoods Signature - Bandra,Mumbai,Bandra,"Chinese, Mexican","Outdoor Seating, Gluten Free, Valet Parking",276,"{""2"": 22, ""4"": 21, ""6"": 7, ""8"": 7, ""10"": 5}",$$,4.5,11:00-00:00+1,60,Free until 24 hours before,+91-9229553265,reservations.32@goodfoods.example.com
R033,GoodFoods Express - Gachibowli,Hyderabad,Gachibowli,Continental,"Kids Zone, Wheelchair Friendly, Bar",236,"{""2"": 23, ""4"": 21, ""6"": 11, ""8"": 5, ""10"": 0}",$$,3.8,10:00-00:00+1,0,Free until 24 hours before,+91-9394539550,reservations.33@goodfoods.example.com
R034,GoodFoods Bistro - Bandra,Mumbai,Bandra,"Continental, Italian","Live Music, Rooftop, Outdoor Seating, Bar",150,"{""2"": 19, ""4"": 15, ""6"": 4, ""8"": 1, ""10"": 2}",$,4.7,11:00-01:00+1,0,Free until 2 hours before,+91-9262915636,reservations.34@goodfoods.example.com
R035,GoodFoods Bistro - MG Road,Bengaluru,MG Road,"South Indian, Chinese","Vegan Options, Private Dining",260,"{""2"": 24, ""4"": 24, ""6"": 5, ""8"": 7, ""10"": 3}",$$,4.7,11:00-00:00+1,0,Free until 2 hours before,+91-9918982730,reservations.35@goodfoods.example.com
R036,GoodFoods Bistro - Hitech City,Hyderabad,Hitech City,"Bengali, South Indian","Kids Zone, Pet Friendly, Vegan Options",202,"{""2"": 10, ""4"": 5, ""6"": 8, ""8"": 8, ""10"": 5}",$$,3.5,11:00-00:00+1,120,Free until 2 hours before,+91-9838073939,reservations.36@goodfoods.example.com
R037,GoodFoods Signature - Gachibowli,Hyderabad,Gachibowli,"Mexican, South Indian","Wheelchair Friendly, Pet Friendly, Outdoor Seating",142,"{""2"": 7, ""4"": 6, ""6"": 4, ""8"": 5, ""10"": 4}",$$,3.7,12:00-00:00+1,120,₹500 no-show fee,+91-9637377910,reservations.37@goodfoods.example.com
R038,GoodFoods Urban - Ballygunge,Kolkata,Ballygunge,Rajasthani,"Private Dining, Valet Parking",146,"{""2"": 13, ""4"": 5, ""6"": 3, ""8"": 4, ""10"": 5}",$$$,4.6,12:00-22:00,30,Credit card hold required,+91-9657233178,reservations.38@goodfoods.example.com
R039,GoodFoods Bistro - New Town,Kolkata,New Town,"Rajasthani, Mexican","Live Music, Bar, Valet Parking, Private Dining",196,"{""2"": 15, ""4"": 8, ""6"": 15, ""8"": 3, ""10"": 2}",$$$,4.2,12:00-01:00+1,0,Credit card hold required,+91-9194553481,reservations.39@goodfoods.example.com
R040,GoodFoods Bistro - Kothrud,Pune,Kothrud,"South Indian, BBQ","Vegan Options, Rooftop, Wheelchair Friendly, Bar",204,"{""2"": 6, ""4"": 11, ""6"": 10, ""8"": 6, ""10"": 4}",$$$,4.1,10:00-23:00,60,Free until 24 hours before,+91-9409268943,reservations.40@goodfoods.example.com
R041,GoodFoods Bistro - Ballygunge,Kolkata,Ballygunge,North Indian,"Pet Friendly, Outdoor Seating, Vegan Options",166,"{""2"": 22, ""4"": 18, ""6"": 3, ""8"": 4, ""10"": 0}",$,4.4,10:00-01:00+1,60,₹500 no-show fee,+91-9546129354,reservations.41@goodfoods.example.com
R042,GoodFoods Signature - Ballygunge,Kolkata,Ballygunge,"Mediterranean, Gujarati","Private Dining, Kids Zone, Vegan Options",226,"{""2"": 7, ""4"": 13, ""6"": 14, ""8"": 7, ""10"": 2}",$,3.9,11:00-01:00+1,30,Credit card hold required,+91-9678296492,reservations.42@goodfoods.example.com
R043,GoodFoods Signature - New Town,Kolkata,New Town,"Gujarati, BBQ","Bar, Valet Parking, Kids Zone, Vegan Options",228,"{""2"": 17, ""4"": 12, ""6"": 15, ""8"": 7, ""10"": 0}",$$$,4.2,11:00-01:00+1,30,Credit card hold required,+91-9139749508,reservations.43@goodfoods.example.com
R044,GoodFoods Signature - MG Road,Bengaluru,MG Road,"Vegan, South Indian","Live Music, Vegan Options, Bar, Rooftop",206,"{""2"": 18, ""4"": 25, ""6"": 4, ""8"": 2, ""10"": 3}",$$,4.4,11:00-22:00,60,Credit card hold required,+91-9440012324,reservations.44@goodfoods.example.com
R045,GoodFoods Signature - Park Street,Kolkata,Park Street,Chinese,"Kids Zone, Live Music, Private Dining",210,"{""2"": 25, ""4"": 8, ""6"": 9, ""8"": 3, ""10"": 5}",$,3.6,10:00-00:00+1,60,₹500 no-show fee,+91-9562446417,reservations.45@goodfoods.example.com
R046,GoodFoods Express - Koramangala,Bengaluru,Koramangala,"Rajasthani, Bengali, BBQ","Pet Friendly, Wheelchair Friendly, Live Music",264,"{""2"": 17, ""4"": 24, ""6"": 12, ""8"": 4, ""10"": 3}",$,4.1,11:00-01:00+1,60,Free until 2 hours before,+91-9963968184,reservations.46@goodfoods.example.com
R047,GoodFoods Urban - New Town,Kolkata,New Town,"South Indian, Mediterranean","Gluten Free, Outdoor Seating, Private Dining",210,"{""2"": 19, ""4"": 14, ""6"": 5, ""8"": 7, ""10"": 3}",$,4.0,11:00-00:00+1,60,Free until 2 hours before,+91-9991246046,reservations.47@goodfoods.example.com
R048,GoodFoods Express - CG Road,Ahmedabad,CG Road,Rajasthani,"Gluten Free, Bar",262,"{""2"": 12, ""4"": 24, ""6"": 14, ""8"": 6, ""10"": 1}",$$$,3.9,12:00-23:00,0,Free until 2 hours before,+91-9431714152,reservations.48@goodfoods.example.com
R049,GoodFoods Signature - Park Street,Kolkata,Park Street,"Continental, Italian","Outdoor Seating, Valet Parking",176,"{""2"": 10, ""4"": 11, ""6"": 4, ""8"": 6, ""10"": 4}",$,3.9,11:00-00:00+1,60,Free until 2 hours before,+91-9602866993,reservations.49@goodfoods.example.com
R050,GoodFoods Signature - Hauz Khas,Delhi,Hauz Khas,"Vegan, Bengali","Vegan Options, Valet Parking, Live Music, Private Dining",216,"{""2"": 13, ""4"": 22, ""6"": 3, ""8"": 8, ""10"": 2}",$$$,4.0,12:00-00:00+1,0,Free until 24 hours before,+91-9606244434,reservations.50@goodfoods.example.com
R051,GoodFoods Urban - Lower Parel,Mumbai,Lower Parel,"Fusion, Rajasthani","Wheelchair Friendly, Live Music, Bar",164,"{""2"": 25, ""4"": 18, ""6"": 3, ""8"": 3, ""10"": 0}",$$,4.9,10:00-22:00,30,Free until 24 hours before,+91-9517305280,reservations.51@goodfoods.example.com
R052,GoodFoods Bistro - New Town,Kolkata,New Town,"Rajasthani, Continental, Vegan","Private Dining, Live Music, Bar",158,"{""2"": 18, ""4"": 13, ""6"": 2, ""8"": 6, ""10"": 1}",$$,4.8,11:00-22:00,60,₹500 no-show fee,+91-9165015165,reservations.52@goodfoods.example.com
R053,GoodFoods Express - CG Road,Ahmedabad,CG Road,"South Indian, Vegan","Live Music, Kids Zone, Rooftop, Vegan Options",176,"{""2"": 12, ""4"": 9, ""6"": 14, ""8"": 4, ""10"": 0}",$$$,3.8,10:00-00:00+1,30,Free until 2 hours before,+91-9397721596,reservations.53@goodfoods.example.com
R054,GoodFoods Signature - Koramangala,Bengaluru,Koramangala,"BBQ, Italian","Wheelchair Friendly, Rooftop",230,"{""2"": 5, ""4"": 16, ""6"": 14, ""8"": 4, ""10"": 4}",$,3.7,10:00-23:00,120,Free until 2 hours before,+91-9900651998,reservations.54@goodfoods.example.com
R055,GoodFoods Urban - Karol Bagh,Delhi,Karol Bagh,"BBQ, Thai, Gujarati","Bar, Vegan Options",220,"{""2"": 24, ""4"": 6, ""6"": 13, ""8"": 5, ""10"": 3}",$,4.9,11:00-01:00+1,0,Credit card hold required,+91-9864935082,reservations.55@goodfoods.example.com
R056,GoodFoods Signature - Park Street,Kolkata,Park Street,Thai,"Live Music, Pet Friendly, Outdoor Seating",280,"{""2"": 25, ""4"": 23, ""6"": 10, ""8"": 6, ""10"": 3}",$$,4.2,11:00-22:00,0,Free until 24 hours before,+91-9561784080,reservations.56@goodfoods.example.com
R057,GoodFoods Urban - Salt Lake,Kolkata,Salt Lake,"Thai, Vegan, Mediterranean","Private Dining, Live Music, Valet Parking, Wheelchair Friendly",178,"{""2"": 13, ""4"": 16, ""6"": 4, ""8"": 8, ""10"": 0}",$,3.6,10:00-00:00+1,30,Free until 2 hours before,+91-9729712082,reservations.57@goodfoods.example.com
R058,GoodFoods Bistro - Koregaon Park,Pune,Koregaon Park,"Thai, Vegan, Bengali","Rooftop, Outdoor Seating, Gluten Free, Valet Parking",234,"{""2"": 23, ""4"": 21, ""6"": 5, ""8"": 3, ""10"": 5}",$,4.7,11:00-00:00+1,0,₹500 no-show fee,+91-9716435189,reservations.58@goodfoods.example.com
R059,GoodFoods Bistro - Jubilee Hills,Hyderabad,Jubilee Hills,Rajasthani,"Rooftop, Pet Friendly, Outdoor Seating",140,"{""2"": 15, ""4"": 16, ""6"": 2, ""8"": 3, ""10"": 1}",$,3.7,12:00-22:00,0,Free until 24 hours before,+91-9503935666,reservations.59@goodfoods.example.com
R060,GoodFoods Urban - Bodakdev,Ahmedabad,Bodakdev,"Italian, Thai","Valet Parking, Gluten Free, Live Music",200,"{""2"": 9, ""4"": 10, ""6"": 14, ""8"": 1, ""10"": 5}",$$,4.1,11:00-01:00+1,120,Credit card hold required,+91-9393310667,reservations.60@goodfoods.example.com
R061,GoodFoods Urban - Banjara Hills,Hyderabad,Banjara Hills,"Mexican, South Indian","Wheelchair Friendly, Gluten Free, Bar",178,"{""2"": 14, ""4"": 6, ""6"": 5, ""8"": 7, ""10"": 4}",$,3.8,10:00-23:00,60,₹500 no-show fee,+91-9452318696,reservations.61@goodfoods.example.com
R062,GoodFoods Urban - Connaught Place,Delhi,Connaught Place,"Continental, Mexican, Italian","Private Dining, Vegan Options, Kids Zone",232,"{""2"": 22, ""4"": 16, ""6"": 3, ""8"": 7, ""10"": 5}",$$,3.5,10:00-00:00+1,120,Credit card hold required,+91-9861818706,reservations.62@goodfoods.example.com
R063,GoodFoods Express - CG Road,Ahmedabad,CG Road,Mexican,"Valet Parking, Pet Friendly",176,"{""2"": 19, ""4"": 16, ""6"": 3, ""8"": 7, ""10"": 0}",$$,4.3,12:00-22:00,120,₹500 no-show fee,+91-9900801837,reservations.63@goodfoods.example.com
R064,GoodFoods Express - Viman Nagar,Pune,Viman Nagar,"BBQ, Italian","Vegan Options, Live Music",238,"{""2"": 21, ""4"": 11, ""6"": 14, ""8"": 6, ""10"": 2}",$,3.6,11:00-23:00,30,Free until 24 hours before,+91-9916274954,reservations.64@goodfoods.example.com
R065,GoodFoods Signature - Hauz Khas,Delhi,Hauz Khas,"Mediterranean, BBQ, Rajasthani","Wheelchair Friendly, Gluten Free, Valet Parking, Vegan Options",234,"{""2"": 19, ""4"": 7, ""6"": 9, ""8"": 8, ""10"": 5}",$$,4.3,11:00-22:00,60,Credit card hold required,+91-9585238820,reservations.65@goodfoods.example.com
R066,GoodFoods Urban - Bandra,Mumbai,Bandra,"Vegan, Japanese","Wheelchair Friendly, Live Music",284,"{""2"": 24, ""4"": 21, ""6"": 8, ""8"": 8, ""10"": 4}",$$,4.8,12:00-23:00,60,Credit card hold required,+91-9638339044,reservations.66@goodfoods.example.com
R067,GoodFoods Signature - Indiranagar,Bengaluru,Indiranagar,"South Indian, BBQ, Thai","Vegan Options, Pet Friendly",198,"{""2"": 12, ""4"": 19, ""6"": 9, ""8"": 3, ""10"": 2}",$$,4.0,11:00-22:00,60,Free until 2 hours before,+91-9454002758,reservations.67@goodfoods.example.com
R068,GoodFoods Urban - GK-II,Delhi,GK-II,"Japanese, Fusion, Continental","Valet Parking, Live Music, Pet Friendly",272,"{""2"": 14, ""4"": 25, ""6"": 13, ""8"": 7, ""10"": 1}",$$,4.3,12:00-00:00+1,30,Free until 2 hours before,+91-9793663866,reservations.68@goodfoods.example.com
R069,GoodFoods Signature - CG Road,Ahmedabad,CG Road,Thai,"Pet Friendly, Kids Zone, Valet Parking",118,"{""2"": 11, ""4"": 12, ""6"": 4, ""8"": 3, ""10"": 0}",$,4.2,12:00-22:00,60,Free until 24 hours before,+91-9741288486,reservations.69@goodfoods.example.com
R070,GoodFoods Bistro - Navrangpura,Ahmedabad,Navrangpura,"Italian, Vegan","Bar, Rooftop, Private Dining",256,"{""2"": 12, ""4"": 19, ""6"": 11, ""8"": 5, ""10"": 5}",$,4.2,11:00-01:00+1,30,₹500 no-show fee,+91-9828326405,reservations.70@goodfoods.example.com
R071,GoodFoods Urban - Ballygunge,Kolkata,Ballygunge,"BBQ, Mexican","Pet Friendly, Kids Zone, Wheelchair Friendly, Outdoor Seating",308,"{""2"": 25, ""4"": 20, ""6"": 15, ""8"": 6, ""10"": 4}",$$$,4.7,10:00-00:00+1,0,Free until 24 hours before,+91-9392907427,reservations.71@goodfoods.example.com
R072,GoodFoods Signature - Salt Lake,Kolkata,Salt Lake,"South Indian, Chinese, Mediterranean","Rooftop, Private Dining, Wheelchair Friendly",192,"{""2"": 21, ""4"": 16, ""6"": 5, ""8"": 7, ""10"": 0}",$,3.5,10:00-00:00+1,30,Free until 24 hours before,+91-9141127742,reservations.72@goodfoods.example.com
R073,GoodFoods Bistro - Adyar,Chennai,Adyar,"BBQ, Continental","Bar, Gluten Free, Rooftop, Live Music",224,"{""2"": 13, ""4"": 11, ""6"": 15, ""8"": 3, ""10"": 4}",$,4.6,10:00-00:00+1,0,Free until 2 hours before,+91-9356022467,reservations.73@goodfoods.example.com
R074,GoodFoods Bistro - Bodakdev,Ahmedabad,Bodakdev,South Indian,"Gluten Free, Vegan Options, Rooftop, Kids Zone",170,"{""2"": 14, ""4"": 18, ""6"": 2, ""8"": 6, ""10"": 1}",$,4.4,10:00-00:00+1,0,Free until 2 hours before,+91-9519246503,reservations.74@goodfoods.example.com
R075,GoodFoods Urban - Park Street,Kolkata,Park Street,"Thai, Japanese, Continental","Valet Parking, Live Music",200,"{""2"": 12, ""4"": 25, ""6"": 3, ""8"": 6, ""10"": 1}",$$,4.3,12:00-23:00,120,Credit card hold required,+91-9778321204,reservations.75@goodfoods.example.com
R076,GoodFoods Bistro - Koramangala,Bengaluru,Koramangala,Continental,"Rooftop, Outdoor Seating, Kids Zone, Wheelchair Friendly",204,"{""2"": 6, ""4"": 15, ""6"": 6, ""8"": 7, ""10"": 4}",$$,3.6,12:00-23:00,60,₹500 no-show fee,+91-9938422254,reservations.76@goodfoods.example.com
R077,GoodFoods Signature - Juhu,Mumbai,Juhu,"Japanese, South Indian","Private Dining, Wheelchair Friendly, Bar",208,"{""2"": 15, ""4"": 10, ""6"": 9, ""8"": 8, ""10"": 2}",$,4.5,10:00-01:00+1,30,₹500 no-show fee,+91-9444898148,reservations.77@goodfoods.example.com
R078,GoodFoods Signature - Connaught Place,Delhi,Connaught Place,"Bengali, Japanese","Bar, Gluten Free, Private Dining",214,"{""2"": 19, ""4"": 16, ""6"": 9, ""8"": 1, ""10"": 5}",$$$,4.9,11:00-22:00,0,Credit card hold required,+91-9490102359,reservations.78@goodfoods.example.com
R079,GoodFoods Express - Indiranagar,Bengaluru,Indiranagar,"Vegan, Rajasthani","Rooftop, Pet Friendly, Live Music, Kids Zone",192,"{""2"": 16, ""4"": 16, ""6"": 8, ""8"": 1, ""10"": 4}",$$$,4.1,11:00-00:00+1,120,Free until 2 hours before,+91-9716243819,reservations.79@goodfoods.example.com
R080,GoodFoods Signature - MG Road,Bengaluru,MG Road,"Mexican, Thai","Kids Zone, Live Music, Rooftop",208,"{""2"": 20, ""4"": 21, ""6"": 8, ""8"": 2, ""10"": 2}",$$$,4.1,12:00-00:00+1,120,Free until 24 hours before,+91-9231680929,reservations.80@goodfoods.example.com
